Prednasejici;Nazev;Bio;Anotace;Url;YouTube
Zdenek Henek;Jak Gradle zrychlí váš build;https://twitter.com/zdenekhenek;Gradle se za léta neuvěřitelně zlepšil. Nyní můžete počítat s paralelními buildy, inkrementální kompilací, nástroji pro profilování vašeho buildu.;https://docs.google.com/presentation/d/1QAlJPNjfbpn24LHOLUfg70avlx7ihfR7d8_IhFtB6r8/edit;https://youtu.be/ehxLVMoOUts
Luboš Račanský;Proč se učit Groovy;https://twitter.com/banterCZ;Proč byste se měli učit Groovy a kde všude ho pak můžete použít.;https://drive.google.com/file/d/0B6ylaVVmlHYHOW15bGpYVlh3UHc/view?usp=sharing;https://youtu.be/PMnHnTgavDY
Jan Vondrouš;Jak a proč psát utility v Gradlu;https://twitter.com/jvondrous;Díky Gradlu lze snadno napsat utilitu/program, který se spustí kdekoliv, lze libovolně modifikovat bez nutnosti kompilace, lze používat libovolné Maven závislosti, lze psát v Groovy;;https://youtu.be/CTA3QNc5IsI
Filip Štaffa;Typescript;https://twitter.com/filip_staffa;Úvod do TypeScriptu aneb proč byste měli při vývoji JavaScriptového kódu o použití TypeScriptu vážně uvažovat. Navíc nezprasený JavaScriptový kód je zároveň validním TypeScript kódem.;https://gitpitch.com/fstaffa/jopenspace-2017-typescript;https://youtu.be/4XfbFULFoqo
Jakub Kočí;Univerzální technologie;https://twitter.com/jakubkoci;Existuje zatím jediná univerzální technologie - náš mozek. Proto je dobré se o něj dobře starat a snažit se mu porozumět. Znáte třeba L a R módy, ve kterých náš mozek operuje? Proč se snažit zvýšit podíl R módu?;https://www.slideshare.net/jakubkoci/universaltechnology;https://youtu.be/K58X3HmsTMw
Víťa Plšek;Single Page Applications;https://twitter.com/vitaplsek;SPA jsou dnes považovány v oblasti webu téměř za architektonický standard, je to ale stav ve kterém chceme být? ;https://docs.google.com/presentation/d/1_TWRmHJ227DX-cbsDx9jnkgJ5pIZxaF2aPUUMAgCi6U/edit#slide=id.g27f72f387c_0_4;https://youtu.be/DKTHhNMKdC0
Leoš Přikryl;Kotlin;https://twitter.com/leos_prikryl;Java se bohužel vyvíjí příliš pomalu, což nás nutí rozhlížet se po alternativních jazycích běžících nad JVM. Kotlin je jedna z nejschůdnějších možností. Je to moderní jazyk plně interoperabilní s Javou, který se Java vývojář dokáže velmi rychle naučit.;https://docs.google.com/presentation/d/1PZkLtIe-XNe0Yq2oeX42LUVKvwR-_KbH_R9JyZKNJLQ/edit?usp=sharing;https://youtu.be/g28nNdFTG4k
František Řezáč;Smart karty - svatý grál digitální bezpečnosti;https://twitter.com/calaverainfo;Spravujete důležité certifikáty a hesla do produkčních systémů? Smart karty vám pomohou zase klidně v noci spát. Díky nim si můžete být jisti, že se vašich tajemství nepozorovaně zmocní někdo jiný.;;https://youtu.be/oUqLU-J3Uyo
Kamil Ševeček;Ženy v IT. Czechitas;http://www.sevecek.net/;Ženy jsou v IT nedostatkovým zbožím a přitom v začátcích IT průmyslu tomu bylo přesně naopak. Co děláme proto, aby se ženy ke klávesnici zase vrátily?!;http://www.tomcat.cloud/Zeny%20v%20IT.pdf;https://youtu.be/isjTclNA6uE
Ondřej Chaloupka;Saga transactions a přístup, který volí transakční manager Narayana;https://twitter.com/_chalda;Co jsou to Saga transakce, proč jsou vhodné pro použití v microservice architecture a jaký je jejich rozdíl od XA transakcí. (LRA)[https://github.com/jbosstm/microprofile-sandbox/blob/0009-LRA/proposals/0009-LRA/0009-LRA.md] (long running actions) implementace Sagy v Narayana transakčního manageru.;http://chalda.cz/saga/saga.html;https://youtu.be/URgDZ6NCEtY
