Prednasejici,Nazev,Url,Anotace,Bio,YouTube
Zdeněk Henek,Neurofeedback,https://docs.google.com/presentation/d/1lF-gosVjfMeGFBYySA2hGFNUCD3rxrmxJiqK0p81-qM/edit#slide=id.p,,,https://youtu.be/Ee0gEYXETpQ
Jan Novotný,Levehnsteinův algoritmus pro synchronizaci objektových stromů,http://bit.ly/jopenspace2019,,,https://youtu.be/70XVWuv9CIE
Martin Jinoch,Chvála lenosti -> Pres BPM k orchestraci mikroslužeb,https://docs.google.com/presentation/d/1i8dpL4QfgoXKSB3BcwZ99ug-iKA3AjnxiYBXsU-6_Ig/edit?usp=drivesdk,,,https://youtu.be/vLrD2En8tS4
Kamil Ševeček,Nováček -> junior programátor aneb Czechitas 2.0,https://bit.ly/jos2019-sevecek,,,https://youtu.be/TKog3JM1l10
Milan Lempera,JS/TS/frameworky - diskuse,https://docs.google.com/presentation/d/1l2yXGkKnTZxprJVPi0_IvZkdIijNvfc6hsTATExvuAg/edit?usp=sharing,,,https://youtu.be/sokLkvNxxxU
Jan Horalík,Jak se vracet ke svým poznámkám,https://www.slideshare.net/JanHoralk/jak-se-vracet-ke-svm-poznmkm,,,https://youtu.be/uBK1D5zkwCk
Jakub Kočí,Decentralizovaná digitální identita,https://s3-eu-west-1.amazonaws.com/files.jakubkoci.com/ssi-jopenspace.pdf,,,https://youtu.be/vpDNZvzQ8M4
David Ondřich,SJT v roce 2019,https://docs.google.com/presentation/d/16E-6ON4jLDsMEmUHO009RB4FH_HwvbRGX76k95DaFCQ/edit?usp=sharing,,,https://youtu.be/rf7cMUkLM8k
Leoš Přikryl,Brain computer interface,https://docs.google.com/presentation/d/16m1YjFeQf2HZLDdon7LY7qniHjBYqO0EqvIoefSEEKI/edit?usp=sharing,,,https://youtu.be/YwHrlnlq4Do
Pavel Jetenský,Implementace čtečky čárových kódů v Javascriptu - best practices,,,,https://youtu.be/P0zCMAI-U7M
František Řezáč,Otevřená 3D data,https://docs.google.com/presentation/d/1pGsDjaupwWWlcRIeg-WwmypuPTtIMFfK-eflsOyGGkk/edit?usp=sharing,,,https://youtu.be/5KQHZsyl6jc
Lukáš Trumm,Vývoj v monorepu pomocí Angular NX,,,,https://youtu.be/_naeM5MBsX4
Tomáš Zvěřina,Jak si Flutter ohýbá Dart,https://docs.google.com/presentation/d/1TODPMDHFazSKCWtZM4iNGhm43BYIcOp3VVyTEcSc-kk/edit?usp=sharing,,,https://youtu.be/a7OYGj0JwW8
Jan Voráček,Nechte za sebe programovat umělou inteligenci,https://docs.google.com/presentation/d/1G5J9rFoEXFZWGq9pcOI1JDQlTKkl0aO_8RIU45Yd0FY/edit?usp=sharing,,,https://youtu.be/abLzmQ8GiKY
Lubomir Petera,Zátěžové testy,https://dynatrace-my.sharepoint.com/:p:/p/lubomir_petera/EfLzcqTT_zREoptaSX_H9HwBVse-xmmGXKtG1znIgW6oog?e=YLxNPq,,,https://youtu.be/M_6wRXA-I-U
Filip Štaffa,Jak funguje TLS,https://fstaffa.github.io/jak-funguje-tls/,https://fstaffa.github.io/application-security/,,https://youtu.be/waKpE-xhjEA
Radim Hradecký,Lepším hashováním proti omezením internetu,https://docs.google.com/presentation/d/1b7-HEQwkdZF7QenaCu90DAX8AQCR3ueGmF1gHK7zOyA/edit?usp=sharing,,,https://youtu.be/nDfBc51y93s
Vojtěch Růžička,Snyk,https://www.dropbox.com/s/mwo97793gw3h55l/SNYK.pptx?dl=0,,,
Michal Augustýn,gRPC,https://docs.google.com/presentation/d/1jKfiPoGhSOTFy2vRGuyLwf1vcmViVjsbsMRGOhsLFjQ/edit?usp=sharing,,,https://youtu.be/Qywo-_1FxkM
Tomáš Hubálek,"10 věcí, které jste určitě nevěděli o včelách (téma mimo IT)",https://docs.google.com/presentation/d/1BeOLstaT520IetTu7AbbTSW4pm6azIaogQbhOTLOGAA/edit?usp=sharing,,,https://youtu.be/NOEB3b_OsiA
Jan Štěrba,h2o.ai,https://docs.google.com/presentation/d/12CVwSko0HuvbTd8d_g8K0frxbdvQ149VvEc16DNzO8k/edit?usp=sharing,,,https://youtu.be/uwG23uU_ccs
Tomáš Zezula,Experimenty s NLP a pokus o implementaci ve Scala wrapperu nad OpenNLP,https://docs.google.com/presentation/d/1LD3jfUcHmccOaWtqIymjbJzqUcrn-_CnZkpuDGGl-VU/edit?usp=sharing,,,https://youtu.be/7GkpM2TCvC8
Martin Strejc,BigData - Performance Tuning,https://docs.google.com/presentation/d/1_nxciOdBZ4a1m71cZUxvbu6e8dGHQFMNpjKHFn2qZ4c/edit?usp=sharing,,,https://youtu.be/gEUkf1OndfM
Roman Hyneček,"AI, software development, vesmír, a vůbec",https://1drv.ms/p/s!AkfQBY3p9Arga8f4wTPmwJoq4UA,,,https://youtu.be/83wivMHy_hk
Ondřej Chaloupka,Transakce ... tam a zase zpátky,http://chalda.cz/presentations/transakce-tam-a-zase-zpatky/,,,https://youtu.be/v-dRekK3xI4
Jiří Kratochvíl,Čím se mohou ne-IT obory inspirovat v IT? | Myslivost,http://bit.ly/jos2019-it-pro-non-it  | http://bit.ly/jos2019-myslivost,,,https://youtu.be/hYGqK7Fvzvk
Vladimír Oraný,Peníze nebo život,https://slides.com/musketyr/penize-nebo-zivot#/,,,https://youtu.be/MzMQ1mJiuE0
Radim Kubacki,5,,,,https://youtu.be/GNiiVfw_MC4
Pavel Lahoda,Free Your (i)Phone,https://www.icloud.com/keynote-live/sc:0eIwj1FcrtFXHJWpgB_YOnA5Ur9q-dOR2cI6jIq26V-NkBNiKKuWyGWkI4_eQ2-ZZuk,,,https://youtu.be/FBJDi3rvo04
Martin Vojtek,Migrace gridu do cloudu,https://docs.google.com/presentation/d/1xs034GRNjVL8NsVAgVe_K_7YJDpNATw4SMLgPHgXJjg/edit?usp=sharing,,,https://youtu.be/_NLqrudO1Ps
Lukáš Zach,Jak jsem si (ne)postavil včelí váhy,,,,
Petr Ferschmann,Dobré API,https://docs.google.com/presentation/d/1OYKxEwW8CncTHEfvAe9dD2g8XRKAUfx5z8QwvjAcB4g/edit?usp=sharing,https://docs.google.com/presentation/d/1OTwq_Zb_yQdMXev3Hwgxsv5Rh3I4rFFjwG404oT-BAg/edit?usp=sharing,,https://youtu.be/8SNAN-mjMh0
Martin Talpa,General Magic,https://docs.google.com/presentation/d/16BUIyjAbwGaTkbbb7z9UMQNLoYdbdq52vz4uS-eBmDc/edit?usp=drivesdk,,,https://youtu.be/S9r666SBinM
Jaroslav Holaň,Co mě baví/nebaví na činnosti zvané programování,https://docs.google.com/presentation/d/1_loWQZ5Kp6EfvSk6QoUDEJoMVOk66x-ui7DrMVe2C3s/edit?usp=sharing,,,https://youtu.be/1GY33h0GYAg
