Prednasejici,Nazev,Bio,Anotace,Url,YouTube
Jan Horalík,Shorův algoritmus - kvantová magie v praxi,https://twitter.com/jan_horalik,"<ul> <li>soucasne RSA sifry spolehaji na rozklad velkeho cisla na rozklad nasobku prvocisel </li> <li>vypocetne narocna operace a na tom stoji soucasna kryptografie </li> <li>kvantove pocitace mohou tuto rovnovahu narusit</li> <li>superpozice - qbit je vlastne pozice na povrchu koule</li> <li>stav lze precist pouze jednou</li> <li>Interference - eliminace ne&#382;&aacute;douc&iacute;ch stav&#367; (kter&eacute; nevedou ke cht&#283;n&eacute;mu v&yacute;sledku) </li> <li>prectenim druhe casti cisla, ktere reprezentuje modulo (zbytek po deleni) jsme schopni odstranit prave ty nezadouci stavy pro konkretni hodnoty modula o kterych vime, ze nejsou spravne </li> <li>fourierovou transformaci jsme schopni dopocitat cislo, ktere nam umozni s &#8540; pravdepodobnosti rozlozit vstupni velke cislo a iterativne pokracovat s rozkladem dal </li> <li>pro prolomen&iacute; z&aacute;kladn&iacute; RSA &scaron;ifry je pot&#345;eba 1024 qbit&#367;, aktu&aacute;ln&iacute; kvantov&eacute; po&#269;&iacute;ta&#269;e maji ni&#382;&scaron;&iacute; stovky qbit&#367; </li></ul>",https://docs.google.com/presentation/d/1qG1tuSuJvNjVHJ57_nUSPp4PBhHVMD-2HUvSlHorgJg/edit?usp=sharing,https://youtu.be/nl1IQ2LPGrg
Jan Vondrouš,CDC,,"<ul> <li><a   href=""https://www.google.com/url?q=https://pact.io/&amp;sa=D&amp;source=editors&amp;ust=1668286179702753&amp;usg=AOvVaw1qjlYDbS00D0gc2JaZR4IZ"">https://pact.io/</a>&nbsp;nejznamnejsi framework pro CDC</li> <li>Sc&eacute;n&aacute;&#345; - consumer, provider, komunikace</li> <li>E2E testov&aacute;n&iacute;, je drah&eacute;, pomal&eacute; ne&scaron;k&aacute;luje </li> <li>odd&#283;len&eacute; testov&aacute;n&iacute; s pou&#382;it&iacute;m mocku - rychlej&scaron;&iacute;, stabiln&#283;j&scaron;&iacute;,  l&eacute;pe se udr&#382;uje a &scaron;k&aacute;luje, ale netestuje re&aacute;ln&yacute; case cel&eacute;ho syst&eacute;mu </li> <li>CDC - p&#345;i testov&aacute;n&iacute; consumera vznikne kontraktu, kter&yacute; pot&eacute; ov&#283;&#345;uje  test provideru </li> <li>Pact Broker - aplikace, kterou je mozne spustit v dockeru a ktera si stahne kontrakt a umi jej nasimulovat </li> <li>p&#345;&iacute;klad - <a   href=""https://www.google.com/url?q=https://github.com/bugs84/pact-01-hello-world-pact-broker&amp;sa=D&amp;source=editors&amp;ust=1668286179703507&amp;usg=AOvVaw3_boInjrEvyOwrXqISfd-e"">https://github.com/bugs84/pact-01-hello-world-pact-broker</a> </li></ul>",https://bit.ly/3CElmg8,https://youtu.be/ojGtDrTuOlw
Lubomír Petera,Šachy,https://www.linkedin.com/in/lubomirus/,"<ul> <li>v 17 letech Fide ELO rating 2000+, velke zkusenosti se sachy</li> <li>Arpad Elo v roce 1959 prisel s prvnim ratingem pro hodnoceni vykonnosti ve hre sachy </li> <li>mladsim hracum se rating meni dynamicteji nez starsim hracum</li> <li>do ratingu se pricita/odecita podil rozdilu ELO ratingu obou hracu - tj. s cim narocnejsim souperem clovek  vyhraje, tim vice bodu si pripise a vice versa </li> <li>soucasni mistri maji az 2800 bodu</li> <li>sachovy engine sunfish v Pythonu o 111 radcich kodu ma rating nad 2000 bodu </li> <li>existuje Universal Chess Interface, ktery popisuje komunikaci mezi sachovym enginem a klientem, pouziva k tom  STDIN / STDOUT pro komunikaci </li> <li>1769 prvni &ldquo;pocitac&rdquo; - mechanicky Turek (coz byl podvod)</li> <li>prvni skutecny byl v roce 1912 prvni mechanicky stroj, ktery umel zahrat konkretni koncovku </li> <li>1951 Alan Turing napsal na papire algoritmus, ktery by umel hrat sachy</li> <li>1966 prvni pocitacova partie po telegrafu - hrali po dobu 9 mesicu</li> <li>1981 poprve porazi pocitac cloveka</li> <li>1997 vyhrava Deep Blue nad Garry Kasparovem - mistrem sveta</li> <li>2005 Rybka engine se stava nejlepsim enginem na sachy</li> <li>2009 Pocket Fritz - engine na mobilni telefon, ktery ma rating 2900 - tj. vetsi nez mistr svete </li> <li>2020 stockfish - soucasny nejlepsi engine, cca 20k radku kodu </li> <li>Pro&#269; nen&iacute; mo&#382;n&eacute; &ldquo;propo&#269;&iacute;tat&ldquo; celou hru? - pro prvn&iacute; tah b&iacute;l&eacute;ho  je 20 mo&#382;nost&iacute;, pro tah &#269;ern&eacute;ho u&#382; je to 400&hellip;. &nbsp;brzy dojdeme k &#269;&iacute;sl&#367;m  na kter&eacute; nesta&#269;&iacute; sou&#269;asn&yacute; v&yacute;po&#269;etn&iacute; v&yacute;kon. </li> <li>pouziva se databaze her - cca milon zapasu se vejde na CD</li> <li>Zah&aacute;jen&iacute; program obvykle vyb&iacute;r&aacute; z datab&aacute;ze, stejn&#283; tak koncovky s  posledn&iacute;mi kameny jsou propo&#269;&iacute;tan&eacute; </li> <li>3,4,5 kamenove pozice (tj. zbyva tento pocet kamenu ve hre) ma 1GB</li> <li>7 kamenove koncovky uz maji 18TB a uz zacinaji byt neprakticke </li></ul>",https://dynatrace-my.sharepoint.com/:p:/p/lubomir_petera/ETny2A8aSVZDuTjfpvW-DtgBpSAh8yVdwZGA3OrB4_Fvew?e=73LKDR,https://youtu.be/sLVu-3tye58
Zdeněk Henek,Geografické informační systémy,https://www.vrablik.org,"<ul> <li>kdy&#382; se zept&aacute;te z&aacute;kazn&iacute;ka, &#345;ekne &#382;e chce vid&#283;t v&scaron;echno, co&#382;  obvykle nefunguje </li> <li>volba zobrazen&iacute; dle d&#367;le&#382;itosti, zoomu, agregace dle regionu, heatMapy&hellip; </li> <li>dal&scaron;&iacute; zjednodu&scaron;ov&aacute;n&iacute; pro rychlej&scaron;&iacute; render a men&scaron;&iacute;  p&#345;enos </li> <li>validace</li> <li>je d&#367;le&#382;it&eacute; jak je polygon zadan&yacute; (clockwise vs counterclockwise) - kanonizace </li> <li><a   href=""https://www.google.com/url?q=http://www.mapshaper.org&amp;sa=D&amp;source=editors&amp;ust=1668286179707271&amp;usg=AOvVaw3P3q-iUmY7O3hh4VPZ9SvQ"">www.mapshaper.org</a>&nbsp;program pro zjednoduseni geometrickych dat</li></ul>",https://docs.google.com/presentation/d/1Z2a2-j0GTgB8UW1yq4hdmQqM4S7v2uCjbSzCiEoYI-U/edit#slide=id.p,https://youtu.be/0Dein5qULAg
Víťa Plšek,Jak testujete webové aplikace?,https://vitaplsek.cz,"<ul> <li>testy nad mocky casto nedavaji vubec smysl</li> <li>diky pouziti frameworku neni casto co unitove testovat</li> <li>vlastne pisu hlavne e2e testy, take hodne pisu testy na datove vrstve, ktere overuji slozite dotazy do databaze </li> <li>zacinam tim, ze napisu testy podle akceptacnich kriterii a leckdy jen proti mockove implementaci, kterou  postupne nahrazuji uplnou implementaci </li> <li>e2e testy jsou dobre, ale je nutne jejich psani nejak zjednodusit </li></ul>",https://drive.google.com/open?id=1jog3IR1KkNoqHXVbMYxpaKoT1sJ0lpQr&authuser=winsik.cz%40gmail.com&usp=drive_fs,https://youtu.be/iVCgMsKIGks
Petr Filip,JSONata,https://github.com/petrfilip,"<ul> <li><a   href=""https://www.google.com/url?q=https://jsonata.org&amp;sa=D&amp;source=editors&amp;ust=1668286179709487&amp;usg=AOvVaw2INLOmDWNQPohtz1fRGD1M"">https://jsonata.org</a> </li> <li>uzasny deklarativn&iacute; jazyk na zpracovani JSON i pro neprogramatory</li> <li>umo&#382;&#328;uje agregace, funkce, jednoduche skriptovani</li> <li>vhodn&eacute; pro transformace, reporty, monitoring</li> <li>nativni implementace je v JavaScriptu, existuje Java port ale neni uplne dokonaly - nektere funkce se tam musi  drobne zjednodusovat </li></ul>",https://docs.google.com/presentation/d/1FsKxsU8FKFCKsc0qoxJZJljkz6ckERmCcVIhoM68Qk0/edit?usp=sharing,https://youtu.be/nXKSk9pPxHs
Vladka Janu,IPFS,https://twitter.com/vladkax,"<ul> <li>interplanetarni file system</li> <li>v roce 2017 v Turecku zablokovali Wikipedii</li> <li>centralizovany pristup k datum je spatny protoze jej mohou diktatori ovlivnovat </li> <li>IPFS umoznuje decentralizovane zpristupnovat informace a obchazet blokace </li> <li>peer to peer system, na ktery neni jednoduche aplikovat globalni pravidla pro blokace </li> <li>nevyhoda je, ze data o ktera nema nikdo zajem casem zmizi, proto je nutne resit tzv. pinovani - napr. pres  server pinata </li> <li>nema to privatni soubory - vsechno je proste verejne, lze obchazet sifrovanim, ale to uz neni nijak podporovano  ze strany IPFS </li> <li>neni jeste takova podpora v prohlizecich ale zlepsuje se</li> <li>system umi vyhledat konkretni soubory dle jejich kodu</li> <li>IPFS umi obchazet problemy na siti (NAT a podobne), takze se k datum da dostat skutecne odkudkoliv </li> <li>data jsou immutable a na soubory se odkazujeme pomoci hashe, ktery reprezentuje obsah tohoto souboru </li> <li>pro ukladani struktury se pouziva merkle tree - hashovy strom </li> <li>merkle tree pouziva i Git</li> <li>umi rozdelit i jeden soubor na vice nezavislych bloku, se kterymi pracuje nezavisle </li> <li>ma podporu i pro adresarove struktury, lze tedy mountovat do FS </li> <li>OrbitDB je databaze postavena nad IPFS, pro ukladani souboru lze pouzit i FileCoin </li></ul>",https://tinyurl.com/xvladka,https://youtu.be/5RMXSI2HO-w
Petr Ferschmann,Ajťáci pomáhají na bojišti,https://twitter.com/fersman,"<ul> <li>na zacatku byly levne tablety s offine mapami</li> <li>vznikal dost zivelne a agilne</li> <li>puvodni system se jmenoval Kropyva, nove GIS Arta</li> <li>vojak v tabletu vidi zname pozice nepritele, muze si objednat delostreleckou palbu </li> <li>Rusko znicilo satelitni system viasat, ukrajinci presli na Starlink a tim tento problem obesli </li> <li>ziskavaji data pres drony, radarove systemy, fyzicke vojaky v poli, vyzvedne satelity atp. </li> <li>realne jsou schopni do 1 minuty strilet na misto dle objednavky z bojiste </li> <li>obchazeji detekci bateriove strelby tim, ze strili z ruznych pozic ale synchronizuji strelbu </li> <li>Nato vraci strelbu asi za 20 minut (overuje zda to neni od svych jednotek/ civiliste ) </li> <li>Rusko vraci strelbu az cca za hodinu</li> <li>prevzali rizeni NATO, kde jsou jednotky velmi autonomni a veleni urcuje jenom high-level strategii </li></ul>",https://docs.google.com/presentation/d/1Vmcn2oBRXBc68bs_f4celEFGJPSfhT_g2782UuCjDgc/edit#slide=id.g1415e1b008a_0_44,https://youtu.be/oN6peM4tOrk
David Ondřich,Skutečnost neexistuje,https://dond.cz,"<ul> <li>clovek ma nekvalitni senzoriku, clovek ma asi 10, v prirode u zvirat existuje asi 26 celkem </li> <li>na vstupu ma clovek velmi mnoho sumu, ktery filtruje mozek (podobne jako AI) </li> <li>umele inteligenci by se mela rikat umela intuice</li> <li>cloveku nejde pravdepodobnostni matematika</li> <li>kazdy jedinec zije ve vlastnim modelu pochopeni a vnimani sveta, ktery se navic meni v case </li> <li>casto zijeme pribehy (a podlehame predsudkum)</li> <li>vn&iacute;m&aacute;n&iacute; = bias+ &scaron;um + iluze</li> <li>flashable memories = 75% respondent&#367; zapomn&#283;lo p&#345;i vypl&#328;ov&aacute;n&iacute; dotazn&iacute;ku  po del&scaron;&iacute; dob&#283;, &#382;e vypl&#328;ovali dotazn&iacute;k t&yacute;den po trag&eacute;dii (hav&aacute;rie  Challengeru) </li> <li>problem pribehu je v tom, ze z nich vyvozujeme kauzalitu, ale ono se obvykle jedna jen o korelaci (nahoda) </li> <li>kazdy dostatecne komplexni system je neustale alespon castecne rozbity (neznamy inzenyr NASA), dalsi zminky The  Myth of the Root Cause, Mathias Lafedt a dalsi (viz. prezentace) </li></ul>",https://docs.google.com/presentation/d/1anzQOex5_EMNPvBW4Vy7zWDWrI_S-rjWnLhqfZR1ygk/edit?usp=sharing,https://youtu.be/GJogsrWLNY4
Tomáš Záluský,Od SQL k Cypheru,https://twitter.com/tomaszalusky,"<ul> <li>Cypher je dotazovaci a DDL jazyk</li> <li>snazi se opticky napodobovat uzly a hrany (analogie k ASCII art) </li> <li>dotazem prochazeji tuples (n-tice), ktere predstavuji uzly, relace atp, ktere musi splnovat &ldquo;match  patterny&rdquo; </li> <li>je velmi analogicka k Java streamum</li></ul>",https://docs.google.com/presentation/d/1VEN9F0NO7I4QkLIKeU2KEnRzy7Ln6-j94dC2Ib7dR6s/edit#slide=id.p,https://youtu.be/O9T-8ax3HFU
