"Prednasejici","Nazev","Bio","Anotace","Url","YouTube"
"Lukáš Křečan","🎤 Důvěra a pocit zodpovědnosti",,"<p>Lukáš Křečan ve své přednášce &quot;Důvěra a pocit zodpovědnosti&quot; zkoumá klíčové koncepty, které ovlivňují pracovní spokojenost a efektivitu týmů. Zaměřuje se na dynamiku mezi lídry a členy týmů, přičemž používá model s dvěma osami – důvěrou a pocitem zodpovědnosti. Křečan upozorňuje na čtyři možné scénáře, které mohou nastat v závislosti na úrovni důvěry a angažovanosti, a varuje před nebezpečím mikromanagementu a kultury &quot;command and control&quot;. Důležitým bodem jeho prezentace je potřeba stanovit jasné mantinely, které umožní týmům převzít odpovědnost za výsledky, aniž by byli neustále kontrolováni. Křečan také zdůrazňuje, že je nezbytné, aby lídři respektovali prostor, ve kterém se týmy pohybují, a nezasahovali do jejich práce. Přednáška nabízí cenné postřehy pro každého, kdo se snaží zlepšit pracovní prostředí a podporovat inovace. Křečan doporučuje knihu &quot;The Agile Culture&quot; jako inspiraci pro další prohloubení těchto myšlenek.</p>
","https://docs.google.com/presentation/d/1Vf_VPYg9ZwbctQzN98IyG47aBDnp1Y95edhA5gDfR1o/edit?usp=sharing","https://www.youtube.com/watch?v=uAECCwC-ZU8"
"Jan Voráček","🎤 JS v kleci aneb jak zkrotit doplňky třetích stran",,"<p>Jan Voráček ve své přednášce &quot;JS v kleci aneb jak zkrotit doplňky třetích stran&quot; představuje inovativní přístup k integraci externích doplňků v rámci platformy Shoptet, která se připravuje na přechod na NextJS. Cílem je zajistit bezpečnost a stabilitu aplikací, které využívají cizí kód, a to zejména v kontextu, kdy externí doplňky mohou ohrozit celou infrastrukturu. Voráček vysvětluje, jak se pomocí V8 Isolate dají izolovat běžící skripty, což minimalizuje riziko úniku citlivých dat a zajišťuje kontrolu nad prostředím, ve kterém se kód vykonává. Dále se zaměřuje na výhody tohoto přístupu, jako je rychlost spuštění a možnost omezit spotřebu paměti a CPU. Přednáška také zmiňuje, že ačkoliv V8 Isolaty nejsou zcela bezpečné, představují lepší alternativu než tradiční metody. Voráček vyzývá k dalšímu zkoumání a vývoji, což naznačuje, že projekt je stále v experimentální fázi. Tato přednáška je cenným zdrojem informací pro vývojáře, kteří hledají efektivní způsoby, jak integrovat třetí strany do svých aplikací bez ztráty bezpečnosti.</p>
","https://docs.google.com/presentation/d/1CFEKhfSr9UwSiln2vor-sSJR-r0ILTFl09DstVjpgJY/edit?usp=sharing","https://www.youtube.com/watch?v=j9PpYEE1xD4"
"Martin Hampl","🎤 Vektorové DB v PostgreSQL snadno a rychle",,"<p>Martin Hampl ve své přednášce &quot;jOpenSpace 2025 - Vektorové DB v PostgreSQL snadno a rychle&quot; představuje inovativní přístup k využití vektorových databází v rámci PostgreSQL. Cílem je ukázat, jak efektivně a jednoduše implementovat vyhledávání pomocí vektorů, aniž by bylo nutné nastavovat složité externí vyhledávací systémy. Hampl vysvětluje základní pojmy, jako jsou vektory a embeddingy, a jejich význam pro semantické vyhledávání. Dále se zaměřuje na praktické aplikace, včetně použití modelů OpenAI a knihovny PG Vector, a diskutuje o výhodách a nevýhodách těchto technologií. Přednáška také pokrývá problematiku indexace a výkonu při práci s velkými objemy dat. Hampl naznačuje, že budoucnost může přinést nové knihovny, které by mohly vyřešit některé současné problémy. Tato prezentace je cenným zdrojem informací pro všechny, kteří chtějí zjednodušit a zefektivnit vyhledávání v databázích pomocí moderních technologií.</p>
","https://docs.google.com/presentation/d/1pAxAfbSOnxUbEZR76edS7LCoebjRgsdjxiSAZSh7GWY/edit?usp=sharing","https://www.youtube.com/watch?v=5GT6BOcl9J0"
"Leoš Přikryl","🎤 Walking desk",,"<p>Leoš Přikryl ve své přednášce představuje inovativní koncept Walking Desk, což je stůl kombinující práci a chůzi. Tento přístup mu pomohl vyřešit problém nedostatku pohybu a bolesti zad způsobené dlouhým sezením. Leoš sdílí svůj osobní příběh, jak se k tomuto zařízení dostal a jak si přizpůsobil pracovní prostředí, aby bylo snadné přecházet mezi sezením a stáním. Vysvětluje, jak mu chůze pomáhá udržet pozornost během pracovních úkolů, a zmiňuje výhody, jako je zlepšení kreativity a produktivity. Přednáška také obsahuje praktické tipy pro ty, kteří by chtěli Walking Desk vyzkoušet, včetně doporučení ohledně vybavení a nastavení. Leoš varuje před některými nevhodnými aspekty, jako je používání nevhodného běhacího pásu, a zdůrazňuje důležitost pohodlného nastavení. Celkově jeho zkušenosti ukazují, jak může být kombinace chůze a práce prospěšná, a vyzývá posluchače, aby si tento koncept vyzkoušeli na vlastní kůži.</p>
","https://docs.google.com/presentation/d/1d1qXwD4w-y1Y5FlbzXmqc1rdo8ZjIs9NDck_z39sHDI/edit?slide=id.p#slide=id.p","https://www.youtube.com/watch?v=x71AmbSv-WI"
"Václav Stolín ","🎤 CI/CD Capture & Iterate / Compose & Develop","https://www.linkedin.com/in/vaclav-stolin/","<p>Václav Stolín ve své přednášce &quot;jOpenSpace 2025 - CI/CD Capture &amp; Iterate / Compose &amp; Develop&quot; sdílí svou vášeň pro fotografii a osobní zkušenosti s tímto koníčkem. Zaměřuje se na technické a kreativní aspekty fotografování, včetně výběru fotoaparátů a objektivů, a diskutuje o fenoménu známém jako Gear Acquisition Syndrome, kdy se fotografové soustředí více na vybavení než na samotné fotografování. Vašek se podělí o tipy, jak zlepšit své fotografické dovednosti, včetně kompozice, perspektivy a využití světla. Dále zdůrazňuje důležitost pravidel třetin a experimentování s různými úhly pohledu. Na závěr prezentace prozrazuje, že nejlepším fotoaparátem je ten, který máte vždy po ruce a nebojíte se ho použít. Přednáška je inspirativní a nabízí praktické rady pro všechny, kteří chtějí zlepšit své fotografické umění.</p>
","https://docs.google.com/presentation/d/1baofQPtOptpMkWzE3mQs7pgcmA3QcGPwpBu81ySnVuc/edit?usp=drivesdk","https://www.youtube.com/watch?v=-tWmE6HoavA"
"Vlaďka Janů","🎤 Budoucnost energetiky a je vodík naše budoucnost?",,"<p>V přednášce &quot;Budoucnost energetiky a je vodík naše budoucnost?&quot; se Vlaďka Janů zaměřuje na aktuální otázky týkající se energetiky, přičemž klade důraz na roli vodíku. Cílem její prezentace je uvést na pravou míru některé mýty a nedorozumění spojené s vodíkem jako energetickým zdrojem. Janů podrobně rozebírá výhřevnost vodíku v porovnání s tradičními palivy a upozorňuje na technické a ekonomické výzvy spojené s jeho výrobou a skladováním. Dále se věnuje moderním energetickým trendům, jako je využití obnovitelných zdrojů a potřeba efektivního řízení distribuční soustavy. Zmiňuje také, že budoucnost energetiky může být ovlivněna novými technologiemi a materiály, které by mohly zvýšit efektivitu výroby energie. Janů končí svou přednášku zamyšlením nad tím, jak se společnost postupně posouvá k udržitelnějším a bezpečnějším energetickým řešením. Tato přednáška je výbornou příležitostí pro všechny, kdo se zajímají o budoucnost energetiky a inovativní přístupy k jejímu rozvoji.</p>
","https://docs.google.com/presentation/d/1ZVa8tlptD4ETx3_L0R41AwlpGqD-ZeYbGGPoIsNKR-s/edit?slide=id.p#slide=id.p ","https://www.youtube.com/watch?v=GCozTi2YT9I"
"Víťa Plšek","🎤 Nemám téma - to bude pořádná ledová sprcha",,"<p>Víťa Plšek ve své přednášce na jOpenSpace 2025 sdílí osobní zkušenosti s otužováním a jeho přínosy pro tělo i mysl. V úvodu se zamýšlí nad tím, jaký byl jeho rok a jak se snažil inspirovat ostatní, přičemž se dotýká tématu diskuze a networkingu. Hlavním motivem jeho prezentace je ledová sprcha, kterou považuje za metaforu pro překonávání osobních výzev a stresu. Víťa popisuje, jak otužování zlepšilo jeho psychickou odolnost a energii, a jak se stal součástí komunity otužilců. Dále se zaměřuje na praktické tipy pro začátečníky, včetně bezpečnostních opatření a doporučení pro studené sprchy. Na závěr vyzývá posluchače k účasti na výzvě, která má za cíl motivovat k pravidelnému otužování. Tato přednáška je inspirativní a nabízí cenné rady pro ty, kteří chtějí zlepšit své zdraví a pohodu.</p>
",,"https://www.youtube.com/watch?v=RfFtvb7-wyU"
"Luboš Račanský","🎤 IDDQD","https://blog.zvestov.cz","<p>Luboš Račanský ve své přednášce &quot;jOpenSpace 2025&quot; přivádí posluchače na nostalgickou cestu do minulosti videoher, konkrétně se zaměřuje na kultovní hru Doom a její technické pozadí. Cílem prezentace je ukázat, jak se vyvíjela herní technologie v 90. letech, a jaký vliv měly tehdejší hardwarové inovace na design her. Račanský se dotýká klíčových aspektů, jako jsou procesory, paměti a grafické technologie, a vysvětluje, jak tyto prvky ovlivnily vývoj herního enginu. Zmiňuje také významné osobnosti, jako jsou John Romero a John Carmack, a jejich přínos k revoluci v herním průmyslu. Přednáška je obohacena o osobní vzpomínky a historické souvislosti, které činí technické detaily přístupnějšími a zajímavějšími. Račanský se nebojí kritizovat některé technické volby a poukazuje na to, jak se herní komunita vyvíjela a adaptovala. Celkově tato přednáška nabízí fascinující pohled na to, jak se zrodila jedna z nejikoničtějších her všech dob a jak její dědictví přetrvává dodnes.</p>
",,"https://www.youtube.com/watch?v=nFd82No3C7Q"
"Vladimír Oraný","🎤 InfluxDB a proč ho (ne)používat",,"<p>Vladimír Oraný ze společnosti Agorapuls ve své přednášce představuje zkušenosti s optimalizací výkonu databázového systému pro analýzu dat ze sociálních sítí. Cílem bylo zrychlit generování reportů, které se původně pohybovalo v desítkách sekund, na přijatelnější úroveň. Přednášející popisuje přechod od DynamoDB k InfluxDB, přičemž zdůrazňuje výhody a nevýhody obou systémů. V rámci optimalizace byl vyvinut report engine, který umožňuje efektivní načítání a zpracování dat, což vedlo k pětinásobnému zrychlení odezvy. Oraný také upozorňuje na důležitost správného výběru databáze podle typu dat a na nutnost postupných změn při implementaci nových technologií. Závěrem se zamýšlí nad komunitními reakcemi na nové verze InfluxDB a doporučuje opatrnost při přechodu na nové systémy. Tato přednáška je cenným zdrojem informací pro každého, kdo se zabývá analýzou dat a optimalizací databázových systémů.</p>
","https://docs.google.com/presentation/d/1nQlBARhHV9sraosAbuwx4jwzlqiQuRVMPJQrrmI-UrY/edit?usp=sharing","https://www.youtube.com/watch?v=_F1TzrpKoXk"
"Peter Cipov","🎤 Hacker's TTL - Hacker's Time To Live","https://www.linkedin.com/in/petercipov/","<p>Peter Cipov ve své přednášce &quot;Hacker's TTL - Hacker's Time To Live&quot; se zaměřuje na prevenci aterosklerózy, zejména pro programátory, kteří vedou sedavý životní styl. Cílem jeho prezentace je osvětlit, proč je důležité věnovat pozornost zdraví a jaké faktory přispívají k rozvoji této závažné nemoci. Cipov přináší alarmující statistiky, které ukazují, že ateroskleróza je jedním z hlavních zabijáků v západních civilizacích, a zdůrazňuje, že mnozí lidé žijí s následky infarktu nebo mrtvice po dlouhá léta.</p>
<p>Vysvětluje mechanismus, jakým LDL cholesterol přispívá k ateroskleróze, a jak zánět v cévách může vést k vážným zdravotním komplikacím. Dále se zaměřuje na rizikové faktory, jako jsou vysoký krevní tlak, diabetes a kouření, a doporučuje preventivní opatření, včetně pravidelných krevních testů a změn životního stylu. Cipov apeluje na důležitost zdravé gramotnosti a uvědomění si vlastních zdravotních limitů, což může přispět k delšímu a kvalitnějšímu životu. Tato přednáška je výzvou k aktivnímu přístupu k prevenci a zdraví, která by neměla být opomíjena.</p>
","https://docs.google.com/presentation/d/1DX90VUUTQTHT4s85VBWBN43GBFirI8lzUOLZtO3TJvE/edit?slide=id.p#slide=id.p","https://www.youtube.com/watch?v=R0jJrBauAoc"
"David Matějček","🎤 Závislosti","https://omnifish.ee/","<p>David Matějček ve své přednášce na jOpenSpace 2025 zkoumá téma závislostí v kontextu přetížení systémů a osobních zkušeností. S využitím vlastních příběhů a analýz se zaměřuje na to, jak se přetížení projevuje v různých oblastech, od zdravotnictví po technologické infrastruktury. Upozorňuje na důsledky, které mohou nastat, když systémy překročí kritické body, a zdůrazňuje, že optimalizace o 5 % je často nedostatečná. Matějček také reflektuje na své zkušenosti s neefektivním managementem a důležitost iniciativních lidí v týmu. V rámci přednášky se dotýká i historických a sociálních kontextů, které ovlivňují současné systémy. Jeho prezentace je plná osobních postřehů a praktických rad, které mohou inspirovat k hlubšímu zamyšlení nad tím, jak se vyrovnat s přetížením v různých aspektech života. Celkově se jedná o fascinující pohled na komplexní problematiku, která zasahuje do mnoha oblastí našeho každodenního života.</p>
","https://docs.google.com/presentation/d/14LRfxMPL2mMEI-m1Xrv7GKwOtkhsB_-kQ41UEjqoyt4/edit?usp=sharing","https://www.youtube.com/watch?v=cCZ3hktohkc"
